date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:36	412787/412787	URF---	200	added ('OK%20(cached)')	image/jpeg		https://undangandigitalbali.com/tema/6/assets/img/stories/1.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/stories/1.jpg	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:37	517609/517609	URF---	200	added ('OK%20(cached)')	image/jpeg		https://undangandigitalbali.com/tema/6/assets/img/stories/2.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/stories/2.jpg	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	563402/563402	URF---	200	added ('OK%20(cached)')	image/jpeg		https://undangandigitalbali.com/tema/6/assets/img/stories/4.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/stories/4.jpg	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	4622/4622	URF---	200	added ('OK%20(cached)')	image/png		https://undangandigitalbali.com/assets/images/favicon.png	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/assets/images/favicon.png	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	74996/74996	URF---	200	added ('OK%20(cached)')	image/png		https://undangandigitalbali.com/tema/6/assets/img/flower-2.png	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/flower-2.png	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	10055/10055	URF---	200	added ('OK%20(cached)')	image/png		https://undangandigitalbali.com/tema/6/assets/img/resepsi-icon.png	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/resepsi-icon.png	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	403848/403848	URF---	200	added ('OK%20(cached)')	image/jpeg		https://undangandigitalbali.com/tema/6/assets/img/stories/5.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/stories/5.jpg	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	93566/93566	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Apr%202025%2004:33:12%20GMT	https://undangandigitalbali.com/tema/6/assets/img/bg-pattern.png	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/bg-pattern.png	(from https://undangandigitalbali.com/tema/6/assets/css/style.css)
08:39:38	441060/441060	URF---	200	added ('OK%20(cached)')	image/jpeg		https://undangandigitalbali.com/tema/6/assets/img/stories/6.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/stories/6.jpg	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:38	645882/645882	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Apr%202025%2008:07:12%20GMT	https://undangandigitalbali.com/tema/6/assets/img/hero1.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/hero1.jpg	(from https://undangandigitalbali.com/tema/6/assets/css/style.css)
